     X	             Y	             Z
4.3259e+00	7.2407e+00	1.0000e+01
4.4000e+00	7.1452e+00	1.0000e+01
4.3259e+00	7.2407e+00	1.0000e+01
4.2541e+00	7.3333e+00	1.0000e+01
4.4814e+00	7.1018e+00	1.0000e+01
4.6623e+00	7.0055e+00	1.0000e+01
4.6623e+00	7.0055e+00	1.0000e+01
4.6667e+00	7.0031e+00	1.0000e+01
4.4814e+00	7.1018e+00	1.0000e+01
4.4000e+00	7.1452e+00	1.0000e+01
4.6698e+00	7.0040e+00	1.0000e+01
4.8851e+00	7.0603e+00	1.0000e+01
4.8851e+00	7.0603e+00	1.0000e+01
4.9333e+00	7.0729e+00	1.0000e+01
4.6698e+00	7.0040e+00	1.0000e+01
4.6667e+00	7.0031e+00	1.0000e+01
5.0472e+00	7.1910e+00	1.0000e+01
5.1843e+00	7.3333e+00	1.0000e+01
5.0472e+00	7.1910e+00	1.0000e+01
4.9333e+00	7.0729e+00	1.0000e+01
4.0779e+00	7.5974e+00	1.0000e+01
4.1333e+00	7.4891e+00	1.0000e+01
4.0779e+00	7.5974e+00	1.0000e+01
4.0425e+00	7.6667e+00	1.0000e+01
4.1947e+00	7.4100e+00	1.0000e+01
4.2541e+00	7.3333e+00	1.0000e+01
4.1947e+00	7.4100e+00	1.0000e+01
4.1333e+00	7.4891e+00	1.0000e+01
5.1929e+00	7.3422e+00	1.0000e+01
5.1843e+00	7.3333e+00	1.0000e+01
5.1929e+00	7.3422e+00	1.0000e+01
5.2000e+00	7.3496e+00	1.0000e+01
5.3060e+00	7.5341e+00	1.0000e+01
5.3822e+00	7.6667e+00	1.0000e+01
5.3060e+00	7.5341e+00	1.0000e+01
5.2000e+00	7.3496e+00	1.0000e+01
3.9739e+00	7.8007e+00	1.0000e+01
4.0425e+00	7.6667e+00	1.0000e+01
3.8815e+00	7.9815e+00	1.0000e+01
3.8720e+00	8.0000e+00	1.0000e+01
3.8815e+00	7.9815e+00	1.0000e+01
3.9739e+00	7.8007e+00	1.0000e+01
5.4175e+00	7.7281e+00	1.0000e+01
5.3822e+00	7.6667e+00	1.0000e+01
5.4175e+00	7.7281e+00	1.0000e+01
5.4667e+00	7.8137e+00	1.0000e+01
5.5189e+00	7.9348e+00	1.0000e+01
5.5470e+00	8.0000e+00	1.0000e+01
5.5189e+00	7.9348e+00	1.0000e+01
5.4667e+00	7.8137e+00	1.0000e+01
3.7802e+00	8.2252e+00	1.0000e+01
