     X	             Y	             Z
0.0000e+00	2.0000e+00	2.0000e+00
2.0000e+00	0.0000e+00	2.0000e+00
1.9751e+00	1.2487e-01	2.0000e+00
1.9751e+00	1.2487e-01	2.0000e+00
1.9102e+00	5.1020e-01	2.0000e+00
1.9102e+00	5.1020e-01	2.0000e+00
1.8694e+00	7.0000e-01	2.0000e+00
1.8694e+00	7.0000e-01	2.0000e+00
1.7011e+00	1.0011e+00	2.0000e+00
1.7011e+00	1.0011e+00	2.0000e+00
1.4775e+00	1.3225e+00	2.0000e+00
1.4775e+00	1.3225e+00	2.0000e+00
1.4259e+00	1.4000e+00	2.0000e+00
1.4259e+00	1.4000e+00	2.0000e+00
1.4135e+00	1.4135e+00	2.0000e+00
1.4135e+00	1.4135e+00	2.0000e+00
1.4000e+00	1.4259e+00	2.0000e+00
1.4000e+00	1.4259e+00	2.0000e+00
1.3225e+00	1.4775e+00	2.0000e+00
1.3225e+00	1.4775e+00	2.0000e+00
1.0011e+00	1.7011e+00	2.0000e+00
1.0011e+00	1.7011e+00	2.0000e+00
1.2487e-01	1.9751e+00	2.0000e+00
1.2487e-01	1.9751e+00	2.0000e+00
7.0000e-01	1.8694e+00	2.0000e+00
7.0000e-01	1.8694e+00	2.0000e+00
5.1020e-01	1.9102e+00	2.0000e+00
5.1020e-01	1.9102e+00	2.0000e+00
