     X	             Y	             Z
4.4800e+00	2.2021e+00	5.0000e+00
4.4800e+00	2.2021e+00	5.0000e+00
5.0600e+00	1.9172e+00	5.0000e+00
5.0600e+00	1.9172e+00	5.0000e+00
4.8897e+00	1.9897e+00	5.0000e+00
4.8897e+00	1.9897e+00	5.0000e+00
4.5573e+00	2.1600e+00	5.0000e+00
4.5573e+00	2.1600e+00	5.0000e+00
5.2330e+00	1.7530e+00	5.0000e+00
5.2330e+00	1.7530e+00	5.0000e+00
4.5062e+00	2.1862e+00	5.0000e+00
4.5062e+00	2.1862e+00	5.0000e+00
5.4379e+00	1.5800e+00	5.0000e+00
5.4379e+00	1.5800e+00	5.0000e+00
5.5475e+00	1.4875e+00	5.0000e+00
5.5475e+00	1.4875e+00	5.0000e+00
5.6400e+00	1.4182e+00	5.0000e+00
5.6400e+00	1.4182e+00	5.0000e+00
5.8441e+00	1.2041e+00	5.0000e+00
5.8441e+00	1.2041e+00	5.0000e+00
6.0593e+00	1.0000e+00	5.0000e+00
2.6308e+00	1.0000e+00	5.0000e+00
2.6818e+00	1.0582e+00	5.0000e+00
2.6818e+00	1.0582e+00	5.0000e+00
2.7400e+00	1.1115e+00	5.0000e+00
2.7400e+00	1.1115e+00	5.0000e+00
2.9422e+00	1.3778e+00	5.0000e+00
2.9422e+00	1.3778e+00	5.0000e+00
3.1267e+00	1.5800e+00	5.0000e+00
3.1267e+00	1.5800e+00	5.0000e+00
3.2189e+00	1.6811e+00	5.0000e+00
3.2189e+00	1.6811e+00	5.0000e+00
3.3200e+00	1.7733e+00	5.0000e+00
3.3200e+00	1.7733e+00	5.0000e+00
3.5395e+00	1.9405e+00	5.0000e+00
3.5395e+00	1.9405e+00	5.0000e+00
3.8934e+00	2.1600e+00	5.0000e+00
3.8934e+00	2.1600e+00	5.0000e+00
3.8975e+00	2.1625e+00	5.0000e+00
3.8975e+00	2.1625e+00	5.0000e+00
3.9038e+00	2.1638e+00	5.0000e+00
3.9038e+00	2.1638e+00	5.0000e+00
3.9000e+00	2.1638e+00	5.0000e+00
3.9000e+00	2.1638e+00	5.0000e+00
4.4380e+00	2.2020e+00	5.0000e+00
4.4380e+00	2.2020e+00	5.0000e+00
