 *----------------------------------------------------* 
 |       ***	 Operation Timing Report 	***   |
 *----------------------------------------------------* 
 |   #  |   Operation                Duration (ms)    |
 *----------------------------------------------------* 
 |   1  |  Mode=0_t=0.10_threads=1_(75 X 75) 1985.50     |
 |   2  |  Mode=0_t=0.10_threads=2_(75 X 75) 1213.45     |
 |   3  |  Mode=0_t=0.10_threads=3_(75 X 75) 1174.23     |
 |   4  |  Mode=0_t=0.10_threads=4_(75 X 75) 1190.83     |
 |   5  |  Mode=0_t=0.10_threads=5_(75 X 75) 1196.49     |
 |   6  |  Mode=0_t=0.10_threads=6_(75 X 75) 1218.21     |
 |   7  |  Mode=0_t=0.10_threads=7_(75 X 75) 1236.71     |
 |   8  |  Mode=0_t=0.10_threads=8_(75 X 75) 1234.84     |
 |   9  |  Mode=0_t=0.25_threads=1_(75 X 75) 2303.90     |
 |  10  |  Mode=0_t=0.25_threads=2_(75 X 75) 2313.50     |
 |  11  |  Mode=0_t=0.25_threads=3_(75 X 75) 2330.49     |
 |  12  |  Mode=0_t=0.25_threads=4_(75 X 75) 2287.80     |
 |  13  |  Mode=0_t=0.25_threads=5_(75 X 75) 2329.32     |
 |  14  |  Mode=0_t=0.25_threads=6_(75 X 75) 2321.53     |
 |  15  |  Mode=0_t=0.25_threads=7_(75 X 75) 2325.97     |
 |  16  |  Mode=0_t=0.25_threads=8_(75 X 75) 2313.96     |
 |  17  |  Mode=0_t=0.50_threads=1_(75 X 75) 4295.06     |
 |  18  |  Mode=0_t=0.50_threads=2_(75 X 75) 4264.45     |
 |  19  |  Mode=0_t=0.50_threads=3_(75 X 75) 4313.28     |
 |  20  |  Mode=0_t=0.50_threads=4_(75 X 75) 4278.81     |
 |  21  |  Mode=0_t=0.50_threads=5_(75 X 75) 4250.60     |
 |  22  |  Mode=0_t=0.50_threads=6_(75 X 75) 4187.52     |
 |  23  |  Mode=0_t=0.50_threads=7_(75 X 75) 4309.69     |
 |  24  |  Mode=0_t=0.50_threads=8_(75 X 75) 4146.80     |
 |  25  |  Mode=0_t=1.00_threads=1_(75 X 75) 7862.02     |
 |  26  |  Mode=0_t=1.00_threads=2_(75 X 75) 7986.63     |
 |  27  |  Mode=0_t=1.00_threads=3_(75 X 75) 7874.11     |
 |  28  |  Mode=0_t=1.00_threads=4_(75 X 75) 7390.82     |
 |  29  |  Mode=0_t=1.00_threads=5_(75 X 75) 7388.35     |
 |  30  |  Mode=0_t=1.00_threads=6_(75 X 75) 7572.94     |
 |  31  |  Mode=0_t=1.00_threads=7_(75 X 75) 7607.25     |
 |  32  |  Mode=0_t=1.00_threads=8_(75 X 75) 7567.95     |
 |  33  |  Mode=0_t=1.50_threads=1_(75 X 75) 11041.60    |
 |  34  |  Mode=0_t=1.50_threads=2_(75 X 75) 11030.75    |
 |  35  |  Mode=0_t=1.50_threads=3_(75 X 75) 10959.06    |
 |  36  |  Mode=0_t=1.50_threads=4_(75 X 75) 10918.61    |
 |  37  |  Mode=0_t=1.50_threads=5_(75 X 75) 11184.05    |
 |  38  |  Mode=0_t=1.50_threads=6_(75 X 75) 11558.82    |
 |  39  |  Mode=0_t=1.50_threads=7_(75 X 75) 11503.80    |
 |  40  |  Mode=0_t=1.50_threads=8_(75 X 75) 10937.71    |
 |  41  |  Mode=0_t=2.00_threads=1_(75 X 75) 14314.57    |
 |  42  |  Mode=0_t=2.00_threads=2_(75 X 75) 14394.61    |
 |  43  |  Mode=0_t=2.00_threads=3_(75 X 75) 14391.68    |
 |  44  |  Mode=0_t=2.00_threads=4_(75 X 75) 14235.84    |
 |  45  |  Mode=0_t=2.00_threads=5_(75 X 75) 14248.76    |
 |  46  |  Mode=0_t=2.00_threads=6_(75 X 75) 14327.22    |
 |  47  |  Mode=0_t=2.00_threads=7_(75 X 75) 16220.95    |
 |  48  |  Mode=0_t=2.00_threads=8_(75 X 75) 15381.76    |
 |  49  |  Mode=1_t=0.10_threads=1_(75 X 75) 4124.28     |
 |  50  |  Mode=1_t=0.10_threads=2_(75 X 75) 4092.60     |
 |  51  |  Mode=1_t=0.10_threads=3_(75 X 75) 4093.78     |
 |  52  |  Mode=1_t=0.10_threads=4_(75 X 75) 4092.72     |
 |  53  |  Mode=1_t=0.10_threads=5_(75 X 75) 4144.56     |
 |  54  |  Mode=1_t=0.10_threads=6_(75 X 75) 4134.92     |
 |  55  |  Mode=1_t=0.10_threads=7_(75 X 75) 4111.01     |
 |  56  |  Mode=1_t=0.10_threads=8_(75 X 75) 4099.76     |
 |  57  |  Mode=1_t=0.25_threads=1_(75 X 75) 9155.43     |
 |  58  |  Mode=1_t=0.25_threads=2_(75 X 75) 9148.79     |
 |  59  |  Mode=1_t=0.25_threads=3_(75 X 75) 9174.98     |
 |  60  |  Mode=1_t=0.25_threads=4_(75 X 75) 9174.30     |
 |  61  |  Mode=1_t=0.25_threads=5_(75 X 75) 9071.15     |
